Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2
Com_29_neg,Bisphenol A,C15 H16 O2,228.115,5.566,227.10776,Full match,No results,Full match,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Bisphenols,1049564924,1094320239,1628341365,1212058954,1261753872,1219025390,1391234150
Com_30_neg,methadone-d9,C21 H18 [2]H9 N O,317.9549,1.194,316.94763,Invalid mass,No results,No results,,,,,2377257241,2335358697,1585723003,2148161171,2354332831,2314741106,2413448874
Com_31_neg,Quinic acid,C7 H12 O6,192.06332,1.493,191.05605,No results,No results,Full match,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Quinic acids and derivatives,3177884.185,4175038.048,2811087.186,3703832.65,5497054.175,5145635.542,3187355.794
Com_32_neg,Hydrocinnamic acid,C9 H10 O2,150.06826,6.081,149.06107,Full match,No results,Full match,Phenylpropanoids and polyketides,Phenylpropanoic acids,Not available,Phenylpropanoic acids,1855008658,2108022948,1964402584,1357569680,1499296891,1547255777,1826205307
Com_33_neg,3-Hydroxybenzoic acid,C7 H6 O3,138.03191,5.481,137.02461,Full match,Not the top hit,Full match,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,1110694962,1424571045,676098754.8,1072915176,1153932548,1221138133,1585549428
Com_34_neg,2-Hydroxy-2-methyl-3-buten-1-yl beta-D-glucopyranoside,C11 H20 O7,310.12658,4.703,309.11929,Invalid mass,No results,No results,,,,,1025064.984,1144734.458,814369.1763,1514499.057,1332453.85,892211.9119,1289296.052
Com_35_neg,Salicylic acid,C7 H6 O3,138.03192,5.965,137.02469,Full match,Partial match,Full match,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Salicylic acids,48456492.6,48711459.28,96089824.8,56170482.18,57756801.41,70288675.12,52459318.2
Com_36_neg,FAHFA (18:0/20:2),C38 H70 O4,590.52552,11.276,589.51831,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,6128334.414,8021056.815,796273.6533,11528592.97,4188667.586,3543087.008,37694224.42
Com_37_neg,"1-(1,8-dihydroxy-3,6-dimethyl-2-naphthyl)ethan-1-one",C14 H14 O3,230.09434,5.479,229.08704,Full match,No results,No results,,,,,449952.1311,472761.4937,680541.2584,455816.3461,565816.2792,501073.085,429923.501
Com_38_neg,"3,3-Dimethylglutaric acid",C7 H12 O4,160.07364,5.623,159.06642,Full match,Not the top hit,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Methyl-branched fatty acids,197224811.3,299733020.5,276980180,296656641.1,347192496,368616939.1,264131326.8
