Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_HZ_1,neg_HZ_2,neg_HZ_3,neg_HZ_4,neg_HZ_5,neg_HZ_6,neg_HZ_7,neg_HZ_8,neg_HZ_9,neg_HZ_10,,,,,,,
Com_40_neg,O-Desmethylnaproxen,C13 H12 O3,216.07874,5.271,215.07141,Full match,No results,Full match,Benzenoids,Naphthalenes,Naphthols and derivatives,Naphthols and derivatives,21617022.68,39952237.07,45555159.54,45882845.79,36605809.5,34427129.3,18306799.56,18786158.84,44051381.98,28601693.26,,,,,,,
Com_41_neg,(¡À)8(9)-DiHET,C20 H34 O4,338.24336,10.834,337.23602,Invalid mass,No results,No results,,,,,9492939.274,23686012.32,43244239.41,10379727.61,10490906.97,13149411.39,16474740.84,21095554.57,15414433.59,3080193.782,,,,,,,
Com_42_neg,Genipin,C11 H14 O5,208.07365,5.36,207.06651,Invalid mass,No match,No match,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Iridoids and derivatives,39117335.31,5104695.096,31246711.48,6032153.774,9137979.954,11665167.9,16384660.05,16267871.8,5422659.26,55755729.99,,,,,,,
Com_43_neg,Benzyl 6-O-beta-D-glucopyranosyl-beta-D-glucopyranoside,C19 H28 O11,478.1631,5.648,477.15616,Invalid mass,No results,No results,,,,,21998681.31,36699970.61,38716614.34,20558013.92,46055492.85,22493030.84,19306438.95,10107487.46,28096350.13,19228943.79,,,,,,,
Com_44_neg,Corchorifatty acid F,C18 H32 O5,328.22525,6.696,327.21796,Full match,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,28859519.05,27643491.74,32245662.65,24550402.14,33118709.05,26216726.65,10820555.41,19239863.83,24965912.52,22426218.84,,,,,,,
Com_45_neg,FAHFA (16:0/18:2),C34 H62 O4,534.46274,10.403,533.45544,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,5567514.244,17248562.37,31135377.73,7042668.819,6540445.697,8532051.153,9128889.246,12256241.88,20622375.07,3849039.112,,,,,,,
Com_46_neg,Pentadecanoic acid,C15 H30 O2,242.22457,9.967,241.21732,Full match,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,2483457.757,12298717.64,30456014.17,5024795.735,3884729.408,8433147.47,5559510.5,5551461.008,13355621.65,2124060.261,,,,,,,
Com_47_neg,"3-Oxo-7alpha,12alpha-hydroxy-5beta-cholanoic acid",C24 H38 O5,406.27238,6.564,405.26517,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",3692443.265,38275355.89,1126759.246,1159726.567,38999547.3,1122939.648,1363951.144,7893646.51,4261940.663,1288931.09,,,,,,,
Com_48_neg,Monobutyl phthalate,C12 H14 O4,222.08929,5.364,221.08203,Full match,No results,Full match,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,23096729.99,2434637.307,19800197.82,2808124.07,2389861.025,10037791.12,5886615.363,23941050.7,1936463.149,15785948.6,,,,,,,
Com_49_neg,(¡À)9-HpODE,C18 H32 O4,312.23027,7.013,311.22296,Full match,Partial match,Full match,,,,,11424912.5,14365914.69,21428734.51,16176247.61,16825215.74,12645982.08,6054239.077,6015979.417,12091020.48,15067385.98,,,,,,,
